id,year,month,day,1st,2nd,3rd,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10
506,1991,3,31,4058,5188,1105,492,7291,7959,8142,8231,8262,9756,9974,3086,2009,622,9281,1113,6001,3985,7873,5519,6913,6735,6282
507,1991,4,6,3936,9400,4060,2391,2750,3535,4791,5671,6821,7123,7687,8905,9394,969,3122,5120,5816,6640,6694,7042,8031,8877,9838
508,1991,4,7,7071,7152,4610,1470,1606,3674,3710,3824,5700,7458,7512,8191,9312,1894,2127,2605,2770,2842,3986,4644,5044,5205,8468
509,1991,4,13,8202,8520,7439,1586,2627,3108,4858,5793,7431,7843,9019,9929,9999,69,406,1359,1786,3168,3652,4742,7910,8380,9064
510,1991,4,14,3787,9582,4114,2504,2942,3161,5454,5555,5981,5982,6441,6562,9469,322,1172,1176,2696,3453,4470,6499,8819,9200,9529
511,1991,4,20,4024,794,8719,517,992,1638,2513,2698,4555,7577,7863,9217,9924,1114,1247,2473,2484,2929,5496,6305,6403,7667,9288
512,1991,4,21,6440,5133,14,796,999,1028,4676,5224,6127,7436,8534,9066,9340,347,1772,2502,4217,4405,6408,6589,8265,9445,9655
513,1991,4,27,6173,989,6970,111,822,1335,3005,3336,4706,4856,8073,8921,8966,447,2152,4562,6148,7370,7481,8093,8717,8725,8921
514,1991,4,28,9742,9254,3113,152,1408,3411,3647,4431,4704,5530,6691,7724,8274,1538,3506,3926,4772,5757,5869,7933,8494,8497,8954
515,1991,5,4,8803,6682,7749,185,2830,4955,5722,6498,7930,8083,9423,9442,9761,1564,2251,2401,3191,4484,4753,5680,6482,7856,9887
516,1991,5,5,1162,2606,4176,2506,2751,3606,3798,4309,7360,8021,8422,8618,9813,1059,1848,2449,4436,5191,5457,6466,6502,8730,8936
517,1991,5,11,600,4529,2177,211,450,1213,2650,3041,4093,4690,5687,7469,7579,722,2557,5018,5383,5940,7151,7359,7503,9269,9288
518,1991,5,12,3663,6721,6118,584,2529,2818,3404,3635,6105,7511,8246,9765,9953,111,2295,2597,4053,4744,5983,6234,9215,9585,9644
519,1991,5,18,5192,4790,4958,1188,3540,4009,4608,5488,5645,7618,7624,9316,9861,391,640,3902,4811,5761,6271,7184,7395,8009,9293
520,1991,5,19,4913,9411,376,3070,3792,4226,4522,5078,5231,6113,7222,8229,9953,773,795,1378,2364,2754,2777,3134,4275,4439,6916
521,1991,5,25,7773,5306,8911,282,488,2649,2868,5204,5435,5846,7173,7230,8808,149,605,4289,4709,4722,4725,4878,5924,7710,9930
522,1991,5,26,4707,7934,3493,2167,2663,4242,4884,5132,5903,7081,7769,8018,9222,925,1223,1566,1600,2318,3157,3488,8704,8897,9929
523,1991,6,1,3328,238,3734,35,1881,3196,3779,4851,5226,6126,6127,6152,9030,1047,1350,1731,4567,5117,5129,6052,6226,7179,9354
524,1991,6,2,5293,285,1693,36,253,1342,1435,3880,4400,5394,8183,8342,9524,1423,2640,2974,3128,3878,6441,9118,9582,9793,9849
525,1991,6,8,6029,1906,2117,3228,3440,3869,4004,4943,5708,8168,8911,9760,9865,400,898,4189,5261,6368,6933,7693,8880,8901,9140
526,1991,6,9,6468,3906,3653,1064,1732,3967,4045,4673,7898,9080,9401,9486,9493,82,3449,3659,4692,4945,5254,6311,6404,6505,8887
527,1991,6,15,3739,3855,4659,911,1034,3191,3211,5630,6049,6992,7191,8797,9603,3184,4160,4480,5759,5837,6165,6388,6482,6875,9199
528,1991,6,16,6109,6766,989,43,462,778,1257,3443,5685,5967,7039,9054,9675,116,632,1090,1461,3735,3900,4432,6747,6812,9542
529,1991,6,22,4366,3483,8080,1192,1518,2625,2959,5326,6149,6866,8137,8292,8887,567,1168,3268,3271,3727,5847,6271,6979,8986,9693
530,1991,6,23,511,8836,1502,822,5306,5432,5473,6801,7347,7523,7867,8268,9403,2076,2387,2851,3595,3898,4185,4219,4700,5179,8695
531,1991,6,29,6534,1806,668,2041,2344,3001,3326,4430,6559,6613,7182,9486,9522,724,1545,1942,2394,3066,3974,4953,5246,7547,9163
532,1991,6,30,5140,4860,903,702,1612,1623,1910,2402,5093,5874,5893,6774,8310,1024,1297,3359,4233,5328,6549,7017,7619,7620,8991
533,1991,7,6,5376,7399,5734,674,864,2682,3638,3694,3760,4501,4662,6556,7631,1222,1535,2219,3473,4544,6174,6925,7390,9295,9860
534,1991,7,7,5561,2114,2977,843,4258,5013,5432,5538,6296,7042,7060,8462,8979,1222,2112,6694,7132,7164,7240,8079,8274,9737,9766
535,1991,7,13,9953,9345,4105,389,2046,3956,4029,5155,5525,6972,7283,7353,7611,2909,3613,4229,4517,5949,6788,7359,8476,9024,9494
536,1991,7,14,7665,7583,8965,204,1075,1248,4441,4480,5565,6402,7041,7337,8339,526,2050,2068,5520,6127,7090,7394,8251,8804,9781
537,1991,7,20,3057,2306,2381,395,554,1356,1773,3541,3737,4418,6767,6890,8528,493,1358,1836,2072,2547,3193,7490,7837,8758,9788
538,1991,7,21,312,5590,9145,1307,2138,2380,2674,2901,5425,5541,6323,6418,8927,52,437,3367,4108,5526,7942,8459,8995,9077,9823
